war dead	戦没者			軍事･防衛			戦没者		war dead
war of attrition	消耗戦			軍事･防衛			消耗戦		war of attrition
war plan	戦争計画			軍事･防衛			戦争計画		war plan
war preparation	臨戦態勢、戦争準備			軍事･防衛			臨戦態勢、戦争準備		war preparation
war reparation	戦争賠償金			軍事･防衛			戦争賠償金		war reparation
war responsibility	戦争責任			軍事･防衛			戦争責任		war responsibility
war strategy	戦争戦略			軍事･防衛			戦争戦略		war strategy
war zone	交戦地帯			軍事･防衛			交戦地帯		war zone
warning shot	警告射撃			軍事･防衛			警告射撃		warning shot
water war	水戦争			軍事･防衛			水戦争		water war
weapons inspection	武器査察			軍事･防衛			武器査察		weapons inspection
World War I	第一次世界大戦			軍事･防衛			第一次世界大戦		World War I
World War II	第二次世界大戦			軍事･防衛			第二次世界大戦		World War II
Aegis destroyer	イージス艦			軍備・兵器			イージス艦		Aegis destroyer
Aegis ship	イージス艦			軍備・兵器			イージス艦		Aegis ship
aerial refueling plane	空中給油機			軍備・兵器			空中給油機		aerial refueling plane
aerial tanker	空中給油機			軍備・兵器			空中給油機		aerial tanker
Agent Orange	枯葉剤			軍備・兵器			枯葉剤		Agent Orange
air weapon	空中兵器			軍備・兵器			空中兵器		air weapon
air-to-air missile	空対空ミサイル			軍備・兵器			空対空ミサイル		air-to-air missile
airborne refueling aircraft	空中給油機			軍備・兵器			空中給油機		airborne refueling aircraft
airborne warning and control system	空中警戒システム	AWACS		軍備・兵器		AWACS	空中警戒システム	AWACS	airborne warning and control system
aircraft carrier	空母、航空母艦			軍備・兵器			空母、航空母艦		aircraft carrier
all-weather attack aircraft	全天候戦闘機			軍備・兵器			全天候戦闘機		all-weather attack aircraft
ammo	弾薬			軍備・兵器			弾薬		ammo
anti-ballistic missile	弾道弾迎撃ミサイル	ABM		軍備・兵器		ABM	弾道弾迎撃ミサイル	ABM	anti-ballistic missile
antipersonnel land mine	対人地雷			軍備・兵器			対人地雷		antipersonnel land mine
antitank mine	対戦車地雷			軍備・兵器			対戦車地雷		antitank mine
Apache	アパッチ戦闘ヘリコプター			軍備・兵器			アパッチ戦闘ヘリコプター		Apache
armored personnel carrier	装甲兵員輸送車			軍備・兵器			装甲兵員輸送車		armored personnel carrier
artillery	大砲、火砲			軍備・兵器			大砲、火砲		artillery
assault rifle	突撃銃			軍備・兵器			突撃銃		assault rifle
assault ship	強襲揚陸艦			軍備・兵器			強襲揚陸艦		assault ship
atomic bomb	原子爆弾			軍備・兵器			原子爆弾		atomic bomb
